Scarab gitrev: 90931bb
Scarab started at Mon Nov  4 07:57:49 2024

Initialized Ramulator. 
Address in frontend: 00005647AB932A4E, Iclass: ALU
Address in frontend: 00005647AB932A50, Iclass: MOV
Address in frontend: 00005647AB932A54, Iclass: JUMP
Address in frontend: 00005647AB932A56, Iclass: ALU
Address in frontend: 00005647AB932A5A, Iclass: MOV
Address in frontend: 00005647AB932A5D, Iclass: ALU
Address in frontend: 00005647AB932A62, Iclass: ALU
Address in frontend: 00005647AB932A65, Iclass: ALU
Address in frontend: 00005647AB932A69, Iclass: JUMP
Address in frontend: 00005647AB932AF9, Iclass: MOV
Address in frontend: 00005647AB932AFC, Iclass: MOV
Address in frontend: 00005647AB932AFF, Iclass: CALL
Address in frontend: 00005647AB932B30, Iclass: PUSH
Address in frontend: 00005647AB932B31, Iclass: MOV
Address in frontend: 00005647AB932B34, Iclass: PUSH
Address in frontend: 00005647AB932B36, Iclass: PUSH
Address in frontend: 00005647AB932B38, Iclass: PUSH
Address in frontend: 00005647AB932B39, Iclass: MOV
Address in frontend: 00005647AB932B3C, Iclass: MOV
Address in frontend: 00005647AB932B3F, Iclass: ALU
Address in frontend: 00005647AB932B43, Iclass: MOV
Address in frontend: 00005647AB932B47, Iclass: ALU
Address in frontend: 00005647AB932B4B, Iclass: ALU
Address in frontend: 00005647AB932B4E, Iclass: JUMP
Address in frontend: 00005647AB932B50, Iclass: MOV
Address in frontend: 00005647AB932B54, Iclass: MOV
Address in frontend: 00005647AB932B57, Iclass: MOV
Address in frontend: 00005647AB932B5A, Iclass: MOV
Address in frontend: 00005647AB932B5D, Iclass: CALL
Address in frontend: 00005647AB932C30, Iclass: PUSH
Address in frontend: 00005647AB932C31, Iclass: MOV
Address in frontend: 00005647AB932C34, Iclass: PUSH
Address in frontend: 00005647AB932C36, Iclass: MOV
Address in frontend: 00005647AB932C39, Iclass: PUSH
Address in frontend: 00005647AB932C3B, Iclass: PUSH
Address in frontend: 00005647AB932C3D, Iclass: MOV
Address in frontend: 00005647AB932C40, Iclass: PUSH
Address in frontend: 00005647AB932C41, Iclass: MOV
Address in frontend: 00005647AB932C48, Iclass: MOV
Address in frontend: 00005647AB932C4B, Iclass: MOV
Address in frontend: 00005647AB932C52, Iclass: ALU
Address in frontend: 00005647AB932C55, Iclass: JUMP
Address in frontend: 00005647AB932CF0, Iclass: ALU
Address in frontend: 00005647AB932CF3, Iclass: MOV
Address in frontend: 00005647AB932CF6, Iclass: ALU
Address in frontend: 00005647AB932CF9, Iclass: ALU
Address in frontend: 00005647AB932CFD, Iclass: MOV
Address in frontend: 00005647AB932D00, Iclass: CALL
Address in frontend: 00005647AB8CFF10, Iclass: MOV
Address in frontend: 00005647AB8CFF13, Iclass: MOV
Address in frontend: 00005647AB8CFF16, Iclass: ALU
Address in frontend: 00005647AB8CFF1A, Iclass: JUMP
Address in frontend: 00005647AB8CFEC0, Iclass: ALU
Address in frontend: 00005647AB8CFEC2, Iclass: JUMP
Address in frontend: 00005647AB8CFEC4, Iclass: MOV
Address in frontend: 00005647AB8CFEC7, Iclass: ALU
Address in frontend: 00005647AB8CFECA, Iclass: JUMP
Address in frontend: 00005647AB8CFED9, Iclass: MOV
Address in frontend: 00005647AB8CFEDB, Iclass: ALU
Address in frontend: 00005647AB8CFEDE, Iclass: JUMP
Address in frontend: 00005647AB8CFED6, Iclass: POP
Address in frontend: 00005647AB932D05, Iclass: ALU
Address in frontend: 00005647AB932D0D, Iclass: MOV
Address in frontend: 00005647AB932D10, Iclass: POP
Address in frontend: 00005647AB932D11, Iclass: POP
Address in frontend: 00005647AB932D13, Iclass: POP
Address in frontend: 00005647AB932D15, Iclass: POP
Address in frontend: 00005647AB932D17, Iclass: POP
Address in frontend: 00005647AB932D18, Iclass: POP
Address in frontend: 00005647AB932B04, Iclass: ALU
Address in frontend: 00005647AB932B06, Iclass: JUMP
Address in frontend: 00005647AB932B0C, Iclass: JUMP
Address in frontend: 00005647AB932A03, Iclass: MOV
Address in frontend: 00005647AB932A07, Iclass: ALU
Address in frontend: 00005647AB932A10, Iclass: MOV
Address in frontend: 00005647AB932A17, Iclass: MOV
Address in frontend: 00005647AB932A1A, Iclass: JUMP
Address in frontend: 00005647AB932A20, Iclass: ALU
Address in frontend: 00005647AB932A24, Iclass: POP
Address in frontend: 00005647AB932A25, Iclass: POP
Address in frontend: 00005647AB932A27, Iclass: POP
Address in frontend: 00005647AB932A29, Iclass: POP
Address in frontend: 00005647AB932A2A, Iclass: POP
Address in frontend: 00005647AB93288C, Iclass: ALU
Address in frontend: 00005647AB932892, Iclass: MOV
Address in frontend: 00005647AB932896, Iclass: JUMP
Address in frontend: 00005647AB93289C, Iclass: ALU
Address in frontend: 00005647AB9328A0, Iclass: ALU
Address in frontend: 00005647AB9328A4, Iclass: MOV
Address in frontend: 00005647AB9328A8, Iclass: JUMP
Address in frontend: 00005647AB9328AE, Iclass: MOV
Address in frontend: 00005647AB9328B4, Iclass: JUMP
Address in frontend: 00005647AB9326B0, Iclass: MOV
Address in frontend: 00005647AB9326B4, Iclass: ALU
Address in frontend: 00005647AB9326BD, Iclass: JUMP
Address in frontend: 00005647AB9326C3, Iclass: ALU
Address in frontend: 00005647AB9326C7, Iclass: POP
Address in frontend: 00005647AB9326C8, Iclass: POP
Address in frontend: 00005647AB9326CA, Iclass: POP
Address in frontend: 00005647AB9326CC, Iclass: POP
Address in frontend: 00005647AB9326CE, Iclass: POP
Address in frontend: 00005647AB9326D0, Iclass: POP
Address in frontend: 00005647AB9326D1, Iclass: POP
