Scarab gitrev: d92c720
starlab_do_write is: 1
Scarab started at Thu Jan  2 20:28:35 2025

Initialized Ramulator. 
generated 2000 Jmp instructions, possible memory leak** Heartbeat:   2% -- { 2000002 } -- 34.48 KIPS (29.85 KIPS)
** Heartbeat:   3% -- { 3000003 } -- 35.71 KIPS (31.58 KIPS)
** Heartbeat:   4% -- { 4000003 } -- 34.48 KIPS (32.26 KIPS)
** Heartbeat:   5% -- { 5000005 } -- 32.26 KIPS (32.26 KIPS)
generated 3000 Jmp instructions, possible memory leakInvalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:   6% -- { 6000009 } -- 35.71 KIPS (32.79 KIPS)
** Heartbeat:   7% -- { 7000013 } -- 40.00 KIPS (33.65 KIPS)
** Heartbeat:   8% -- { 8000018 } -- 38.46 KIPS (34.19 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:   9% -- { 9000021 } -- 37.04 KIPS (34.48 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  10% -- { 10000024 } -- 38.46 KIPS (34.84 KIPS)
** Heartbeat:  11% -- { 11000027 } -- 38.46 KIPS (35.14 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  12% -- { 12000027 } -- 40.00 KIPS (35.50 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  13% -- { 13000029 } -- 38.46 KIPS (35.71 KIPS)
** Heartbeat:  14% -- { 14000032 } -- 38.46 KIPS (35.90 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  15% -- { 15000034 } -- 37.04 KIPS (35.97 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  16% -- { 16000035 } -- 38.46 KIPS (36.12 KIPS)
generated 4000 Jmp instructions, possible memory leakInvalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  17% -- { 17000037 } -- 38.46 KIPS (36.25 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  18% -- { 18000038 } -- 38.46 KIPS (36.36 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  19% -- { 19000041 } -- 38.46 KIPS (36.47 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  20% -- { 20000043 } -- 38.46 KIPS (36.56 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  21% -- { 21000044 } -- 38.46 KIPS (36.65 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  22% -- { 22000047 } -- 38.46 KIPS (36.73 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  23% -- { 23000049 } -- 38.46 KIPS (36.80 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  24% -- { 24000049 } -- 38.46 KIPS (36.87 KIPS)
** Heartbeat:  25% -- { 25000052 } -- 38.46 KIPS (36.93 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  26% -- { 26000053 } -- 40.00 KIPS (37.04 KIPS)
generated 5000 Jmp instructions, possible memory leakInvalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  27% -- { 27000053 } -- 38.46 KIPS (37.09 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  28% -- { 28000053 } -- 37.04 KIPS (37.09 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  29% -- { 29000054 } -- 37.04 KIPS (37.08 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  30% -- { 30000056 } -- 38.46 KIPS (37.13 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  31% -- { 31000057 } -- 38.46 KIPS (37.17 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  32% -- { 32000062 } -- 38.46 KIPS (37.21 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  33% -- { 33000063 } -- 38.46 KIPS (37.25 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  34% -- { 34000063 } -- 38.46 KIPS (37.28 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
generated 6000 Jmp instructions, possible memory leakInvalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  35% -- { 35000068 } -- 38.46 KIPS (37.31 KIPS)
** Heartbeat:  36% -- { 36000068 } -- 40.00 KIPS (37.38 KIPS)
** Heartbeat:  37% -- { 37000071 } -- 40.00 KIPS (37.45 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  38% -- { 38000072 } -- 37.04 KIPS (37.44 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  39% -- { 39000077 } -- 38.46 KIPS (37.46 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  40% -- { 40000080 } -- 38.46 KIPS (37.49 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  41% -- { 41000081 } -- 38.46 KIPS (37.51 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  42% -- { 42000081 } -- 38.46 KIPS (37.53 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  43% -- { 43000081 } -- 38.46 KIPS (37.55 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
Invalid register operand MSRS at: ffffffff8486e1b8
generated 7000 Jmp instructions, possible memory leak** Heartbeat:  44% -- { 44000082 } -- 35.71 KIPS (37.51 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  45% -- { 45000082 } -- 40.00 KIPS (37.56 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  46% -- { 46000085 } -- 38.46 KIPS (37.58 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  47% -- { 47000085 } -- 38.46 KIPS (37.60 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  48% -- { 48000085 } -- 38.46 KIPS (37.62 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  49% -- { 49000087 } -- 38.46 KIPS (37.63 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  50% -- { 50000090 } -- 35.71 KIPS (37.59 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  51% -- { 51000090 } -- 38.46 KIPS (37.61 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
** Heartbeat:  52% -- { 52000093 } -- 40.00 KIPS (37.65 KIPS)
Invalid register operand MSRS at: ffffffff8486e1b8
