Scarab gitrev: d92c720
starlab_do_write is: 1
Scarab started at Thu Jan  2 21:12:35 2025

Initialized Ramulator. 
XED decode error for 0xffffffffa2bbdbe7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdbed: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdbf2: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdbf8: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdbfe: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc03: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc08: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc0d: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc13: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc19: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc1f: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc25: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc2e: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc37: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc41: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc4b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc54: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc5d: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc63: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc6c: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc72: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc7b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc84: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc8b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc91: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdc9a: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdca4: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdcae: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdcb4: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdcbe: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdcc8: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdcd1: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdcd7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdce1: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdce8: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdcee: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdcf7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd00: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd09: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd12: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd1b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd24: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd2d: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd32: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd3b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd44: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd49: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd4e: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd57: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd60: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd66: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd6c: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd72: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd7b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd84: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd89: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd8e: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd94: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdd99: BUFFER_TOO_SHORT 2, replacing with nop
