Scarab gitrev: 90931bb
Scarab started at Mon Nov  4 10:52:33 2024

Initialized Ramulator. 
Address in frontend: 000055DECEF696BD, Iclass: JUMP
Address in frontend: 000055DECEF696C3, Iclass: ALU
Address in frontend: 000055DECEF696C7, Iclass: POP
Address in frontend: 000055DECEF696C8, Iclass: POP
Address in frontend: 000055DECEF696CA, Iclass: POP
Address in frontend: 000055DECEF696CC, Iclass: POP
Address in frontend: 000055DECEF696CE, Iclass: POP
Address in frontend: 000055DECEF696D0, Iclass: POP
Address in frontend: 000055DECEF696D1, Iclass: POP
Address in frontend: 000055DECEF68350, Iclass: ALU
Address in frontend: 000055DECEF68353, Iclass: ALU
Address in frontend: 000055DECEF68357, Iclass: JUMP
Address in frontend: 000055DECEF68359, Iclass: MOV
Address in frontend: 000055DECEF6835E, Iclass: ALU
Address in frontend: 000055DECEF68362, Iclass: JUMP
Address in frontend: 000055DECEF68368, Iclass: MOV
Address in frontend: 000055DECEF6836C, Iclass: ALU
Address in frontend: 000055DECEF68371, Iclass: JUMP
Address in frontend: 000055DECEF68373, Iclass: ALU
Address in frontend: 000055DECEF68376, Iclass: JUMP
Address in frontend: 000055DECEF6837C, Iclass: MOV
Address in frontend: 000055DECEF68381, Iclass: ALU
Address in frontend: 000055DECEF68388, Iclass: MOV
Address in frontend: 000055DECEF6838C, Iclass: JUMP
Address in frontend: 000055DECEF68520, Iclass: ALU
Address in frontend: 000055DECEF68527, Iclass: JUMP
Address in frontend: 000055DECEF68392, Iclass: ALU
Address in frontend: 000055DECEF68397, Iclass: MOV
Address in frontend: 000055DECEF6839A, Iclass: ALU
Address in frontend: 000055DECEF6839D, Iclass: MOV
Address in frontend: 000055DECEF683A0, Iclass: ALU
Address in frontend: 000055DECEF683A2, Iclass: JUMP
Address in frontend: 000055DECEF683AF, Iclass: POP
Address in frontend: 000055DECEF683B0, Iclass: POP
Address in frontend: 000055DECEF683B2, Iclass: POP
Address in frontend: 000055DECEF683B4, Iclass: POP
Address in frontend: 000055DECEF683B6, Iclass: POP
Address in frontend: 000055DECEF683B7, Iclass: POP
Address in frontend: 000055DECEF66B2F, Iclass: ALU
Address in frontend: 000055DECEF66B33, Iclass: MOV
Address in frontend: 000055DECEF66B36, Iclass: JUMP
Address in frontend: 000055DECEF669DD, Iclass: MOV
Address in frontend: 000055DECEF669E1, Iclass: MOV
Address in frontend: 000055DECEF669E5, Iclass: MOV
Address in frontend: 000055DECEF669E9, Iclass: ALU
Address in frontend: 000055DECEF669EC, Iclass: JUMP
Address in frontend: 000055DECEF669EE, Iclass: ALU
Address in frontend: 000055DECEF669F2, Iclass: JUMP
Address in frontend: 000055DECEF669F8, Iclass: MOV
Address in frontend: 000055DECEF669FF, Iclass: MOV
Address in frontend: 000055DECEF66A03, Iclass: MOV
Address in frontend: 000055DECEF66A08, Iclass: ALU
Address in frontend: 000055DECEF66A0D, Iclass: CALL
Address in frontend: 000055DECEF67380, Iclass: PUSH
Address in frontend: 000055DECEF67381, Iclass: MOV
Address in frontend: 000055DECEF67384, Iclass: PUSH
Address in frontend: 000055DECEF67386, Iclass: PUSH
Address in frontend: 000055DECEF67388, Iclass: PUSH
Address in frontend: 000055DECEF6738A, Iclass: PUSH
Address in frontend: 000055DECEF6738B, Iclass: ALU
Address in frontend: 000055DECEF6738F, Iclass: MOV
Address in frontend: 000055DECEF67392, Iclass: MOV
Address in frontend: 000055DECEF67395, Iclass: MOV
Address in frontend: 000055DECEF67398, Iclass: ALU
Address in frontend: 000055DECEF6739C, Iclass: ALU
Address in frontend: 000055DECEF6739F, Iclass: JUMP
Address in frontend: 000055DECEF673A5, Iclass: MOV
Address in frontend: 000055DECEF673A8, Iclass: ALU
Address in frontend: 000055DECEF673AB, Iclass: MOV
Address in frontend: 000055DECEF673AE, Iclass: JUMP
Address in frontend: 000055DECEF673B0, Iclass: MOV
Address in frontend: 000055DECEF673B3, Iclass: ALU
Address in frontend: 000055DECEF673B5, Iclass: ALU
Address in frontend: 000055DECEF673B7, Iclass: MOV
Address in frontend: 000055DECEF673BA, Iclass: MOV
Address in frontend: 000055DECEF673BC, Iclass: ALU
Address in frontend: 000055DECEF673C0, Iclass: ALU
Address in frontend: 000055DECEF673C4, Iclass: JUMP
Address in frontend: 000055DECEF673E0, Iclass: POP
Address in frontend: 000055DECEF673E1, Iclass: POP
Address in frontend: 000055DECEF673E3, Iclass: POP
Address in frontend: 000055DECEF673E5, Iclass: POP
Address in frontend: 000055DECEF673E7, Iclass: POP
Address in frontend: 000055DECEF673E8, Iclass: POP
Address in frontend: 000055DECEF66A12, Iclass: ALU
Address in frontend: 000055DECEF66A15, Iclass: MOV
Address in frontend: 000055DECEF66A18, Iclass: JUMP
Address in frontend: 000055DECEF66A1E, Iclass: MOV
Address in frontend: 000055DECEF66A25, Iclass: MOV
Address in frontend: 000055DECEF66A29, Iclass: ALU
Address in frontend: 000055DECEF66A2D, Iclass: CALL
Address in frontend: 000055DECEF673F0, Iclass: MOV
Address in frontend: 000055DECEF673F3, Iclass: ALU
Address in frontend: 000055DECEF673F6, Iclass: ALU
Address in frontend: 000055DECEF673F9, Iclass: MOV
Address in frontend: 000055DECEF673FC, Iclass: JUMP
Address in frontend: 000055DECEF67498, Iclass: MOV
Address in frontend: 000055DECEF6749B, Iclass: MOV
Address in frontend: 000055DECEF6749E, Iclass: ALU
Address in frontend: 000055DECEF674A1, Iclass: JUMP
Address in frontend: 000055DECEF674A7, Iclass: MOV
Address in frontend: 000055DECEF674AA, Iclass: MOV
Address in frontend: 000055DECEF674AD, Iclass: ALU
Address in frontend: 000055DECEF674B0, Iclass: JUMP
Address in frontend: 000055DECEF674B2, Iclass: JUMP
Address in frontend: 000055DECEF67438, Iclass: MOV
Address in frontend: 000055DECEF6743C, Iclass: ALU
Address in frontend: 000055DECEF67440, Iclass: MOV
Address in frontend: 000055DECEF67444, Iclass: ALU
Address in frontend: 000055DECEF67447, Iclass: ALU
Address in frontend: 000055DECEF6744C, Iclass: ALU
Address in frontend: 000055DECEF6744F, Iclass: ALU
Address in frontend: 000055DECEF67453, Iclass: ALU
Address in frontend: 000055DECEF67456, Iclass: JUMP
Address in frontend: 000055DECEF67458, Iclass: MOV
Address in frontend: 000055DECEF6745D, Iclass: MOV
Address in frontend: 000055DECEF67460, Iclass: CALL
Address in frontend: 000055DECEF69DA0, Iclass: PUSH
Address in frontend: 000055DECEF69DA1, Iclass: ALU
Address in frontend: 000055DECEF69DA4, Iclass: MOV
Address in frontend: 000055DECEF69DA9, Iclass: MOV
Address in frontend: 000055DECEF69DAC, Iclass: PUSH
Address in frontend: 000055DECEF69DAE, Iclass: PUSH
Address in frontend: 000055DECEF69DB0, Iclass: PUSH
Address in frontend: 000055DECEF69DB2, Iclass: PUSH
Address in frontend: 000055DECEF69DB3, Iclass: MOV
Address in frontend: 000055DECEF69DB6, Iclass: ALU
Address in frontend: 000055DECEF69DBA, Iclass: MOV
Address in frontend: 000055DECEF69DBD, Iclass: MOV
Address in frontend: 000055DECEF69DC2, Iclass: MOV
Address in frontend: 000055DECEF69DC5, Iclass: CALL
Address in frontend: 000055DECBE41000, Iclass: JUMP
Address in frontend: 00007FAF8FB7D3E0, Iclass: PUSH
Address in frontend: 00007FAF8FB7D3E2, Iclass: PUSH
Address in frontend: 00007FAF8FB7D3E4, Iclass: PUSH
Address in frontend: 00007FAF8FB7D3E6, Iclass: PUSH
Address in frontend: 00007FAF8FB7D3E8, Iclass: MOV
Address in frontend: 00007FAF8FB7D3EB, Iclass: PUSH
Address in frontend: 00007FAF8FB7D3EC, Iclass: PUSH
Address in frontend: 00007FAF8FB7D3ED, Iclass: MOV
Address in frontend: 00007FAF8FB7D3F0, Iclass: ALU
Address in frontend: 00007FAF8FB7D3F4, Iclass: ALU
Address in frontend: 00007FAF8FB7D3FB, Iclass: JUMP
Address in frontend: 00007FAF8FB7D401, Iclass: ALU
Address in frontend: 00007FAF8FB7D409, Iclass: JUMP
Address in frontend: 00007FAF8FB7D425, Iclass: MOV
Address in frontend: 00007FAF8FB7D428, Iclass: ALU
Address in frontend: 00007FAF8FB7D42C, Iclass: ALU
Address in frontend: 00007FAF8FB7D42F, Iclass: JUMP
Address in frontend: 00007FAF8FB7D468, Iclass: MOV
