Scarab gitrev: bc72524
Scarab started at Wed Nov 13 17:03:43 2024

Initialized Ramulator. 
XED decode error for 0x7f2f98846cc0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b79da0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98859b20: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b32c20: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9863ec90: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c5560: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9872eaf0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9872e670: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9863d850: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c5550: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c5220: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f988f1e80: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f988499f0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98845890: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f988713d0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f988f21f0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9884b4a0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98847340: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9884ce00: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98848ca0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98857d70: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9884a980: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98846820: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98727c50: BUFFER_TOO_SHORT 3, replacing with nop
