Scarab gitrev: 90931bb
Scarab started at Mon Nov  4 07:27:19 2024

Initialized Ramulator. 
Address in frontend: 000055B6B5351B2C, Iclass: ALU
Address in frontend: 000055B6B5351B30, Iclass: ALU
Address in frontend: 000055B6B5351B41, Iclass: ALU
Address in frontend: 000055B6B5351B44, Iclass: ALU
Address in frontend: 000055B6B5351B47, Iclass: ALU
Address in frontend: 000055B6B5351B4D, Iclass: ALU
Address in frontend: 000055B6B5351B4F, Iclass: POP
Address in frontend: 000055B6B53450E8, Iclass: ALU
Address in frontend: 000055B6B53450EB, Iclass: ALU
Address in frontend: 000055B6B53450EF, Iclass: POP
Address in frontend: 000055B6B53450F0, Iclass: POP
Address in frontend: 000055B6B53450F1, Iclass: POP
Address in frontend: 000055B6B5344504, Iclass: MOV
Address in frontend: 000055B6B5344508, Iclass: JUMP
Address in frontend: 000055B6B534447D, Iclass: ALU
Address in frontend: 000055B6B5344480, Iclass: JUMP
Address in frontend: 000055B6B5344482, Iclass: ALU
Address in frontend: 000055B6B5344486, Iclass: ALU
Address in frontend: 000055B6B5344488, Iclass: POP
Address in frontend: 000055B6B5344489, Iclass: POP
Address in frontend: 000055B6B534448B, Iclass: POP
Address in frontend: 000055B6B534448D, Iclass: POP
Address in frontend: 000055B6B534448E, Iclass: POP
Address in frontend: 000055B6B53595CA, Iclass: ALU
Address in frontend: 000055B6B53595D1, Iclass: ALU
Address in frontend: 000055B6B53595D4, Iclass: ALU
Address in frontend: 000055B6B53595D8, Iclass: MOV
Address in frontend: 000055B6B53595DC, Iclass: MOV
Address in frontend: 000055B6B53595DF, Iclass: MOV
Address in frontend: 000055B6B53595E3, Iclass: MOV
Address in frontend: 000055B6B53595E7, Iclass: MOV
Address in frontend: 000055B6B53595EB, Iclass: ALU
Address in frontend: 000055B6B53595ED, Iclass: JUMP
Address in frontend: 000055B6B53595F3, Iclass: ALU
Address in frontend: 000055B6B53595F5, Iclass: MOV
Address in frontend: 000055B6B53595F8, Iclass: JUMP
Address in frontend: 000055B6B5359260, Iclass: MOV
Address in frontend: 000055B6B5359264, Iclass: ALU
Address in frontend: 000055B6B535926D, Iclass: JUMP
Address in frontend: 000055B6B5359273, Iclass: ALU
Address in frontend: 000055B6B5359277, Iclass: POP
Address in frontend: 000055B6B5359278, Iclass: POP
Address in frontend: 000055B6B535927A, Iclass: POP
Address in frontend: 000055B6B535927C, Iclass: JUMP
Address in frontend: 000055B6B536EE80, Iclass: MOV
Address in frontend: 000055B6B536EE83, Iclass: MOV
Address in frontend: 000055B6B536EE89, Iclass: ALU
