Core, 0
STREAM_ENTER_RA_total_count,             0

CORE_STREAM_LENGTH_0_count,          1343
CORE_STREAM_LENGTH_0_pct,       13.630
CORE_STREAM_LENGTH_0_total_count,          1759
CORE_STREAM_LENGTH_0_total_pct,       14.118

CORE_STREAM_LENGTH_10_count,          5201
CORE_STREAM_LENGTH_10_pct,       52.786
CORE_STREAM_LENGTH_10_total_count,          6415
CORE_STREAM_LENGTH_10_total_pct,       51.489

CORE_STREAM_LENGTH_20_count,          2910
CORE_STREAM_LENGTH_20_pct,       29.534
CORE_STREAM_LENGTH_20_total_count,          3557
CORE_STREAM_LENGTH_20_total_pct,       28.550

CORE_STREAM_LENGTH_30_count,           277
CORE_STREAM_LENGTH_30_pct,        2.811
CORE_STREAM_LENGTH_30_total_count,           361
CORE_STREAM_LENGTH_30_total_pct,        2.898

CORE_STREAM_LENGTH_40_count,            65
CORE_STREAM_LENGTH_40_pct,        0.660
CORE_STREAM_LENGTH_40_total_count,           114
CORE_STREAM_LENGTH_40_total_pct,        0.915

CORE_STREAM_LENGTH_50_count,            27
CORE_STREAM_LENGTH_50_pct,        0.274
CORE_STREAM_LENGTH_50_total_count,            52
CORE_STREAM_LENGTH_50_total_pct,        0.417

CORE_STREAM_LENGTH_60_count,             6
CORE_STREAM_LENGTH_60_pct,        0.061
CORE_STREAM_LENGTH_60_total_count,            22
CORE_STREAM_LENGTH_60_total_pct,        0.177

CORE_STREAM_LENGTH_70_count,             7
CORE_STREAM_LENGTH_70_pct,        0.071
CORE_STREAM_LENGTH_70_total_count,            21
CORE_STREAM_LENGTH_70_total_pct,        0.169

CORE_STREAM_LENGTH_80_count,             5
CORE_STREAM_LENGTH_80_pct,        0.051
CORE_STREAM_LENGTH_80_total_count,            78
CORE_STREAM_LENGTH_80_total_pct,        0.626

CORE_STREAM_LENGTH_90_count,             4
CORE_STREAM_LENGTH_90_pct,        0.041
CORE_STREAM_LENGTH_90_total_count,            21
CORE_STREAM_LENGTH_90_total_pct,        0.169

CORE_STREAM_LENGTH_100_P_count,             8
CORE_STREAM_LENGTH_100_P_pct,        0.081
CORE_STREAM_LENGTH_100_P_total_count,            59
CORE_STREAM_LENGTH_100_P_total_pct,        0.474
CORE_STREAM_LENGTH_100_P_sum_count,          9853
CORE_STREAM_LENGTH_100_P_sum_pct,      100.000
CORE_STREAM_LENGTH_100_P_sum_total_count,         12459
CORE_STREAM_LENGTH_100_P_sum_total_pct,      100.000
CORE_STREAM_LENGTH_100_P_mean,         1.27
CORE_STREAM_LENGTH_100_P_stddev,         0.72
CORE_STREAM_LENGTH_100_P_total_mean,         1.37
CORE_STREAM_LENGTH_100_P_total_stddev,         1.10

CORE_CUM_STREAM_LENGTH_0_count,         10629
CORE_CUM_STREAM_LENGTH_0_pct,        6.320
CORE_CUM_STREAM_LENGTH_0_total_count,         13771
CORE_CUM_STREAM_LENGTH_0_total_pct,        5.916

CORE_CUM_STREAM_LENGTH_10_count,         75909
CORE_CUM_STREAM_LENGTH_10_pct,       45.135
CORE_CUM_STREAM_LENGTH_10_total_count,         93263
CORE_CUM_STREAM_LENGTH_10_total_pct,       40.066

CORE_CUM_STREAM_LENGTH_20_count,         65452
CORE_CUM_STREAM_LENGTH_20_pct,       38.917
