Core, 0
DECODE_STAGE_NOT_STARVED_stddev,         0.15
DECODE_STAGE_NOT_STARVED_total_mean,         0.02
DECODE_STAGE_NOT_STARVED_total_stddev,         0.15

DECODE_STAGE_STALLED_count,             0
DECODE_STAGE_STALLED_pct,        0.000
DECODE_STAGE_STALLED_total_count,             0
DECODE_STAGE_STALLED_total_pct,        0.000

DECODE_STAGE_NOT_STALLED_count,           854
DECODE_STAGE_NOT_STALLED_pct,       80.871
DECODE_STAGE_NOT_STALLED_total_count,           854
DECODE_STAGE_NOT_STALLED_total_pct,       80.871

DECODE_STAGE_OFF_PATH_count,           202
DECODE_STAGE_OFF_PATH_pct,       19.129
DECODE_STAGE_OFF_PATH_total_count,           202
DECODE_STAGE_OFF_PATH_total_pct,       19.129
DECODE_STAGE_OFF_PATH_sum_count,          1056
DECODE_STAGE_OFF_PATH_sum_pct,      100.000
DECODE_STAGE_OFF_PATH_sum_total_count,          1056
DECODE_STAGE_OFF_PATH_sum_total_pct,      100.000
DECODE_STAGE_OFF_PATH_mean,         1.19
DECODE_STAGE_OFF_PATH_stddev,         0.65
DECODE_STAGE_OFF_PATH_total_mean,         1.19
DECODE_STAGE_OFF_PATH_total_stddev,         0.65

UOPQ_STAGE_STARVED_count,          1013
UOPQ_STAGE_STARVED_pct,       99.901
UOPQ_STAGE_STARVED_total_count,          1013
UOPQ_STAGE_STARVED_total_pct,       99.901

UOPQ_STAGE_NOT_STARVED_count,             1
UOPQ_STAGE_NOT_STARVED_pct,        0.099
UOPQ_STAGE_NOT_STARVED_total_count,             1
UOPQ_STAGE_NOT_STARVED_total_pct,        0.099
UOPQ_STAGE_NOT_STARVED_sum_count,          1014
UOPQ_STAGE_NOT_STARVED_sum_pct,      100.000
UOPQ_STAGE_NOT_STARVED_sum_total_count,          1014
UOPQ_STAGE_NOT_STARVED_sum_total_pct,      100.000
UOPQ_STAGE_NOT_STARVED_mean,         0.00
UOPQ_STAGE_NOT_STARVED_stddev,         0.03
UOPQ_STAGE_NOT_STARVED_total_mean,         0.00
UOPQ_STAGE_NOT_STARVED_total_stddev,         0.03

UOPQ_STAGE_STALLED_count,             0
UOPQ_STAGE_STALLED_pct,        0.000
UOPQ_STAGE_STALLED_total_count,             0
UOPQ_STAGE_STALLED_total_pct,        0.000

UOPQ_STAGE_NOT_STALLED_count,          1014
UOPQ_STAGE_NOT_STALLED_pct,       96.023
UOPQ_STAGE_NOT_STALLED_total_count,          1014
UOPQ_STAGE_NOT_STALLED_total_pct,       96.023

UOPQ_STAGE_OFF_PATH_count,            42
UOPQ_STAGE_OFF_PATH_pct,        3.977
UOPQ_STAGE_OFF_PATH_total_count,            42
UOPQ_STAGE_OFF_PATH_total_pct,        3.977
UOPQ_STAGE_OFF_PATH_sum_count,          1056
UOPQ_STAGE_OFF_PATH_sum_pct,      100.000
UOPQ_STAGE_OFF_PATH_sum_total_count,          1056
UOPQ_STAGE_OFF_PATH_sum_total_pct,      100.000
UOPQ_STAGE_OFF_PATH_mean,         1.04
UOPQ_STAGE_OFF_PATH_stddev,         0.29
UOPQ_STAGE_OFF_PATH_total_mean,         1.04
UOPQ_STAGE_OFF_PATH_total_stddev,         0.29

MAP_STAGE_STARVED_count,           866
MAP_STAGE_STARVED_pct,       97.743
MAP_STAGE_STARVED_total_count,           866
MAP_STAGE_STARVED_total_pct,       97.743

MAP_STAGE_NOT_STARVED_count,            20
MAP_STAGE_NOT_STARVED_pct,        2.257
MAP_STAGE_NOT_STARVED_total_count,            20
MAP_STAGE_NOT_STARVED_total_pct,        2.257
MAP_STAGE_NOT_STARVED_sum_count,           886
MAP_STAGE_NOT_STARVED_sum_pct,      100.000
MAP_STAGE_NOT_STARVED_sum_total_count,           886
MAP_STAGE_NOT_STARVED_sum_total_pct,      100.000
MAP_STAGE_NOT_STARVED_mean,         0.02
MAP_STAGE_NOT_STARVED_stddev,         0.15
MAP_STAGE_NOT_STARVED_total_mean,         0.02
MAP_STAGE_NOT_STARVED_total_stddev,         0.15

MAP_STAGE_STALLED_count,             0
MAP_STAGE_STALLED_pct,        0.000
MAP_STAGE_STALLED_total_count,             0
MAP_STAGE_STALLED_total_pct,        0.000

MAP_STAGE_NOT_STALLED_count,           886
MAP_STAGE_NOT_STALLED_pct,       83.902
MAP_STAGE_NOT_STALLED_total_count,           886
MAP_STAGE_NOT_STALLED_total_pct,       83.902

MAP_STAGE_OFF_PATH_count,           170
MAP_STAGE_OFF_PATH_pct,       16.098
MAP_STAGE_OFF_PATH_total_count,           170
MAP_STAGE_OFF_PATH_total_pct,       16.098
MAP_STAGE_OFF_PATH_sum_count,          1056
MAP_STAGE_OFF_PATH_sum_pct,      100.000
MAP_STAGE_OFF_PATH_sum_total_count,          1056
MAP_STAGE_OFF_PATH_sum_total_pct,      100.000
MAP_STAGE_OFF_PATH_mean,         1.16
MAP_STAGE_OFF_PATH_stddev,         0.59
MAP_STAGE_OFF_PATH_total_mean,         1.16
MAP_STAGE_OFF_PATH_total_stddev,         0.59

EXEC_STAGE_STARVED_count,           898
EXEC_STAGE_STARVED_pct,       85.038
EXEC_STAGE_STARVED_total_count,           898
EXEC_STAGE_STARVED_total_pct,       85.038

EXEC_STAGE_NOT_STARVED_count,             0
EXEC_STAGE_NOT_STARVED_pct,        0.000
EXEC_STAGE_NOT_STARVED_total_count,             0
EXEC_STAGE_NOT_STARVED_total_pct,        0.000

EXEC_STAGE_OFF_PATH_count,           158
EXEC_STAGE_OFF_PATH_pct,       14.962
EXEC_STAGE_OFF_PATH_total_count,           158
EXEC_STAGE_OFF_PATH_total_pct,       14.962
EXEC_STAGE_OFF_PATH_sum_count,          1056
EXEC_STAGE_OFF_PATH_sum_pct,      100.000
EXEC_STAGE_OFF_PATH_sum_total_count,          1056
EXEC_STAGE_OFF_PATH_sum_total_pct,      100.000
