Core, 0
L2HIT_SAME_IP_DELTA__6_count,             0
L2HIT_SAME_IP_DELTA__6_pct,         -nan
L2HIT_SAME_IP_DELTA__6_total_count,             0
L2HIT_SAME_IP_DELTA__6_total_pct,         -nan

L2HIT_SAME_IP_DELTA__7_count,             0
L2HIT_SAME_IP_DELTA__7_pct,         -nan
L2HIT_SAME_IP_DELTA__7_total_count,             0
L2HIT_SAME_IP_DELTA__7_total_pct,         -nan

L2HIT_SAME_IP_DELTA__8_count,             0
L2HIT_SAME_IP_DELTA__8_pct,         -nan
L2HIT_SAME_IP_DELTA__8_total_count,             0
L2HIT_SAME_IP_DELTA__8_total_pct,         -nan
L2HIT_SAME_IP_DELTA__8_sum_count,             0
L2HIT_SAME_IP_DELTA__8_sum_pct,         -nan
L2HIT_SAME_IP_DELTA__8_sum_total_count,             0
L2HIT_SAME_IP_DELTA__8_sum_total_pct,         -nan
L2HIT_SAME_IP_DELTA__8_mean,         -nan
L2HIT_SAME_IP_DELTA__8_stddev,         -nan
L2HIT_SAME_IP_DELTA__8_total_mean,         -nan
L2HIT_SAME_IP_DELTA__8_total_stddev,         -nan

L2HIT_IP_HIT_COUNT__1_count,             0
L2HIT_IP_HIT_COUNT__1_pct,         -nan
L2HIT_IP_HIT_COUNT__1_total_count,             0
L2HIT_IP_HIT_COUNT__1_total_pct,         -nan

L2HIT_IP_HIT_COUNT__2_count,             0
L2HIT_IP_HIT_COUNT__2_pct,         -nan
L2HIT_IP_HIT_COUNT__2_total_count,             0
L2HIT_IP_HIT_COUNT__2_total_pct,         -nan

L2HIT_IP_HIT_COUNT__3_count,             0
L2HIT_IP_HIT_COUNT__3_pct,         -nan
L2HIT_IP_HIT_COUNT__3_total_count,             0
L2HIT_IP_HIT_COUNT__3_total_pct,         -nan

L2HIT_IP_HIT_COUNT__4_count,             0
L2HIT_IP_HIT_COUNT__4_pct,         -nan
L2HIT_IP_HIT_COUNT__4_total_count,             0
L2HIT_IP_HIT_COUNT__4_total_pct,         -nan

L2HIT_IP_HIT_COUNT__5_count,             0
L2HIT_IP_HIT_COUNT__5_pct,         -nan
L2HIT_IP_HIT_COUNT__5_total_count,             0
L2HIT_IP_HIT_COUNT__5_total_pct,         -nan

L2HIT_IP_HIT_COUNT__6_count,             0
L2HIT_IP_HIT_COUNT__6_pct,         -nan
L2HIT_IP_HIT_COUNT__6_total_count,             0
L2HIT_IP_HIT_COUNT__6_total_pct,         -nan

L2HIT_IP_HIT_COUNT__7_count,             0
L2HIT_IP_HIT_COUNT__7_pct,         -nan
L2HIT_IP_HIT_COUNT__7_total_count,             0
L2HIT_IP_HIT_COUNT__7_total_pct,         -nan

L2HIT_IP_HIT_COUNT__8_count,             0
L2HIT_IP_HIT_COUNT__8_pct,         -nan
L2HIT_IP_HIT_COUNT__8_total_count,             0
L2HIT_IP_HIT_COUNT__8_total_pct,         -nan

L2HIT_IP_HIT_COUNT__9_count,             0
L2HIT_IP_HIT_COUNT__9_pct,         -nan
L2HIT_IP_HIT_COUNT__9_total_count,             0
L2HIT_IP_HIT_COUNT__9_total_pct,         -nan
L2HIT_IP_HIT_COUNT__9_sum_count,             0
L2HIT_IP_HIT_COUNT__9_sum_pct,         -nan
L2HIT_IP_HIT_COUNT__9_sum_total_count,             0
L2HIT_IP_HIT_COUNT__9_sum_total_pct,         -nan
L2HIT_IP_HIT_COUNT__9_mean,         -nan
L2HIT_IP_HIT_COUNT__9_stddev,         -nan
L2HIT_IP_HIT_COUNT__9_total_mean,         -nan
L2HIT_IP_HIT_COUNT__9_total_stddev,         -nan



